date,portfolio_value,benchmark_value,daily_return
2023-01-23,9985.4082,9982.9196,-0.001459
2023-01-24,9927.6384,9904.2395,-0.005785
2023-01-25,10021.6175,10019.6001,0.009466
2023-01-26,10079.9147,10109.4805,0.005817
2023-01-27,10035.4514,10060.4804,-0.004411
2023-01-30,10063.4065,10054.6004,0.002786
2023-01-31,10112.8712,10045.6399,0.004915
2023-02-01,10355.3115,10283.9222,0.023973
2023-02-02,10355.3982,10339.9229,8e-06
2023-02-03,10241.4567,10283.9222,-0.011003
2023-02-06,10277.334,10308.002,0.003503
2023-02-07,10274.557,10294.0021,-0.00027
2023-02-08,10317.2987,10304.3619,0.00416
2023-02-09,10209.3292,10260.4022,-0.010465
2023-02-10,10267.0949,10324.8025,0.005658
2023-02-13,10266.6064,10284.2021,-4.8e-05
2023-02-14,10352.3207,10370.4424,0.008349
2023-02-15,10336.1055,10353.643,-0.001566
2023-02-16,10216.7614,10238.5622,-0.011546
2023-02-17,10229.5665,10253.9614,0.001253
2023-02-20,10106.7779,10158.2009,-0.012003
2023-02-21,10092.9554,10152.8806,-0.001368
2023-02-22,10138.8366,10143.3614,0.004546
2023-02-23,10006.2425,10095.4807,-0.013078
2023-02-24,10072.5493,10151.4813,0.006627
2023-02-27,10043.6262,10114.2412,-0.002871
2023-02-28,10007.3476,10013.4402,-0.003612
2023-03-01,10041.6075,10058.8002,0.003423
2023-03-02,10208.7124,10224.2814,0.016641
2023-03-03,10254.1267,10268.8019,0.004449
2023-03-06,10166.1867,10202.7213,-0.008576
2023-03-07,10192.3116,10185.641,0.00257
2023-03-08,10173.2761,10188.7214,-0.001868
2023-03-09,9984.2971,9970.8797,-0.018576
2023-03-10,9766.4615,9740.1575,-0.021818
2023-03-13,9941.6821,9879.0393,0.017941
2023-03-14,9745.6295,9786.3582,-0.01972
2023-03-15,9905.9543,9921.8796,0.016451
2023-03-16,9799.3609,9845.999,-0.010761
2023-03-17,9834.7284,9851.0384,0.003609
2023-03-20,9977.0031,9927.7596,0.014467
2023-03-21,9978.5925,9946.7989,0.000159
2023-03-22,9988.2429,9863.9189,0.000967
2023-03-23,9905.3704,9837.3183,-0.008297
2023-03-24,9973.4768,9919.6386,0.006876
2023-03-27,9943.4763,9870.9183,-0.003008
2023-03-28,10107.7021,9968.36,0.016516
2023-03-29,10233.1136,10018.7595,0.012408
2023-03-30,10347.667,10133.0006,0.011194
2023-03-31,10340.6713,10156.2409,-0.000676
2023-04-03,10289.8252,10099.4007,-0.004917
2023-04-04,10191.6543,10078.96,-0.009541
2023-04-05,10222.972,10085.9605,0.003073
2023-04-06,10233.9125,10085.9605,0.00107
2023-04-10,10281.2596,10149.5213,0.004626
2023-04-11,10244.875,10108.3612,-0.003539
2023-04-12,10294.6075,10096.0403,0.004854
2023-04-13,10350.4248,10168.8415,0.005422
2023-04-14,10387.4487,10215.8817,0.003577
2023-04-17,10412.072,10237.1619,0.00237
2023-04-18,10369.1191,10220.3614,-0.004125
2023-04-19,10308.6588,10188.7214,-0.005831
2023-04-20,10301.4493,10173.0414,-0.000699
2023-04-21,10260.0557,10140.0011,-0.004018
2023-04-24,10190.0086,10120.9607,-0.006827
2023-04-25,10133.0387,10014.2797,-0.005591
2023-04-26,10198.151,10066.3604,0.006426
2023-04-27,10301.8675,10159.3213,0.01017
2023-04-28,10275.8353,10159.3213,-0.002527
2023-05-01,10165.9836,10063.5608,-0.01069
2023-05-02,10173.8581,10071.4009,0.000775
2023-05-03,10142.2627,10004.1999,-0.003106
2023-05-04,10320.3572,10136.0811,0.01756
2023-05-05,10367.8966,10169.4012,0.004606
2023-05-08,10359.3688,10204.6814,-0.000823
2023-05-09,10342.9321,10189.561,-0.001587
2023-05-10,10314.0059,10221.202,-0.002797
2023-05-11,10324.1882,10253.1218,0.000987
2023-05-12,10393.4537,10283.6424,0.006709
2023-05-15,10382.9746,10264.602,-0.001008
2023-05-16,10454.3793,10292.8817,0.006877
2023-05-17,10611.9565,10442.403,0.015073
2023-05-18,10619.697,10434.8428,0.000729
2023-05-19,10658.6327,10476.2839,0.003666
2023-05-22,10608.5718,10446.6028,-0.004697
2023-05-23,10437.4959,10289.2426,-0.016126
2023-05-24,10509.7545,10333.4821,0.006923
2023-05-25,10676.7408,10480.2039,0.015889
2023-05-26,10699.9,10514.3635,0.002169
2023-05-29,10666.1429,10467.8831,-0.003155
2023-05-30,10558.7273,10407.1228,-0.010071
2023-05-31,10645.4859,10461.4433,0.008217
2023-06-01,10796.4349,10649.0454,0.01418
2023-06-02,10772.5968,10679.8448,-0.002208
2023-06-05,10816.3755,10699.7257,0.004064
2023-06-06,10777.5114,10679.2851,-0.003593
2023-06-07,10772.3447,10623.5653,-0.000479
2023-06-08,10808.4564,10675.6449,0.003352
2023-06-09,10925.443,10705.3259,0.010824
2023-06-12,11015.5074,10805.846,0.008244
2023-06-13,11050.0677,10805.5661,0.003137
2023-06-14,11052.993,10765.5264,0.000265
2023-06-15,11096.4698,10810.0458,0.003933
2023-06-16,11030.2019,10746.2062,-0.005972
2023-06-19,10962.2411,10695.245,-0.006161
2023-06-20,10885.7111,10641.4852,-0.006981
2023-06-21,10869.522,10615.7242,-0.001487
2023-06-22,10790.614,10607.0446,-0.00726
2023-06-23,10779.1293,10582.9649,-0.001064
2023-06-26,10785.0241,10572.8839,0.000547
2023-06-27,10897.9901,10677.8847,0.010474
2023-06-28,10912.766,10715.4058,0.001356
2023-06-29,11029.591,10808.3667,0.010705
2023-06-30,11042.3725,10835.2461,0.001159
2023-07-03,11051.3547,10848.1266,0.000813
2023-07-04,10985.4962,10838.0467,-0.005959
2023-07-05,10743.3567,10660.2447,-0.022042
2023-07-06,10785.5461,10659.9648,0.003927
2023-07-07,10806.243,10618.5248,0.001919
2023-07-10,10870.9644,10659.9648,0.005989
2023-07-11,10990.5566,10706.4453,0.011001
2023-07-12,11062.3271,10712.6052,0.00653
2023-07-13,11041.5203,10709.8056,-0.001881
2023-07-14,11062.6719,10699.165,0.001916
2023-07-17,11123.1754,10757.1256,0.005469
2023-07-18,11218.1621,10849.247,0.00854
2023-07-19,11145.9339,10860.1665,-0.006439
2023-07-20,11153.4587,10878.0864,0.000675
2023-07-21,11178.7387,10918.9667,0.002267
2023-07-24,11228.8185,10975.5281,0.00448
2023-07-25,11175.6288,10932.9677,-0.004737
2023-07-26,11284.296,11088.0881,0.009724
2023-07-27,11316.2605,11056.1682,0.002833
2023-07-28,11364.1954,11061.7684,0.004236
2023-07-31,11324.7,11051.6885,-0.003475
2023-08-01,11093.3295,10937.4474,-0.020431
2023-08-02,11042.3552,10881.1669,-0.004595
2023-08-03,11075.3204,10864.3663,0.002985
2023-08-04,11067.4699,10839.7269,-0.000709
2023-08-07,11030.0558,10810.6066,-0.003381
2023-08-08,11005.5036,10803.0464,-0.002226
2023-08-09,11055.6965,10858.4863,0.004561
2023-08-10,10956.7648,10785.4064,-0.008948
2023-08-11,11038.2745,10852.8861,0.007439
2023-08-14,10916.1093,10780.3659,-0.011067
2023-08-15,10882.5108,10758.2461,-0.003078
2023-08-16,10812.7754,10685.7248,-0.006408
2023-08-17,10758.8715,10604.8048,-0.004985
2023-08-18,10830.8883,10609.8442,0.006694
2023-08-21,10904.7405,10712.3253,0.006819
2023-08-22,10988.5208,10778.126,0.007683
2023-08-23,10903.8169,10740.8859,-0.007708
2023-08-24,10911.7857,10747.8853,0.000731
2023-08-25,11025.8146,10825.446,0.01045
2023-08-28,11164.9553,10918.6868,0.01262
2023-08-29,11169.621,10914.2071,0.000418
2023-08-30,11233.8929,10996.8073,0.005754
2023-08-31,11269.9554,11046.9279,0.00321
2023-09-01,11270.3261,11046.9279,3.3e-05
2023-09-04,11284.2723,11091.4484,0.001237
2023-09-05,11207.2724,10998.7673,-0.006824
2023-09-06,11175.2905,10984.7674,-0.002854
2023-09-07,11176.4377,11009.6878,0.000103
2023-09-08,11237.9992,11007.7278,0.005508
2023-09-11,11219.207,11017.248,-0.001672
2023-09-12,11220.2028,11011.0881,8.9e-05
2023-09-13,11348.6826,11150.2486,0.011451
2023-09-14,11299.8764,11097.3284,-0.004301
2023-09-15,11204.9721,11048.6081,-0.008399
2023-09-18,11145.8669,10996.5274,-0.005275
2023-09-19,11178.161,11030.4083,0.002897
2023-09-20,10974.5047,10855.1271,-0.018219
2023-09-21,10999.4216,10848.1266,0.00227
2023-09-22,10982.4071,10843.0861,-0.001547
2023-09-25,10853.2251,10752.6459,-0.011763
2023-09-26,10852.2973,10779.8062,-8.5e-05
2023-09-27,10917.3369,10803.3263,0.005993
2023-09-28,10939.931,10819.2862,0.00207
2023-09-29,10884.0059,10807.5261,-0.005112
2023-10-02,10712.8841,10671.1652,-0.015722
2023-10-03,10697.6897,10638.6846,-0.001418
2023-10-04,10703.2593,10642.8845,0.000521
2023-10-05,10832.6415,10705.045,0.012088
2023-10-06,10829.3218,10774.206,-0.000306
2023-10-09,11015.5843,10921.7673,0.0172
2023-10-10,11011.6182,10874.7271,-0.00036
2023-10-11,11018.6076,10964.8875,0.000635
2023-10-12,10919.3832,10898.8069,-0.009005
2023-10-13,10971.2153,10947.5272,0.004747
2023-10-16,10958.1371,10924.5669,-0.001192
2023-10-17,10851.151,10861.8466,-0.009763
2023-10-18,10787.042,10738.3662,-0.005908
2023-10-19,10589.6872,10549.6437,-0.018296
2023-10-20,10585.2603,10510.4435,-0.000418
2023-10-23,10694.9338,10566.724,0.010361
2023-10-24,10579.1024,10520.5245,-0.01083
2023-10-25,10460.1032,10440.443,-0.011249
2023-10-26,10401.9366,10349.1622,-0.005561
2023-10-27,10454.3349,10359.2431,0.005037
2023-10-30,10552.9287,10446.0431,0.009431
2023-10-31,10665.7488,10567.0039,0.010691
2023-11-01,10865.7349,10724.926,0.01875
2023-11-02,10961.3066,10780.086,0.008796
2023-11-03,10916.5096,10745.9253,-0.004087
2023-11-06,10961.4419,10815.9259,0.004116
2023-11-07,10945.6787,10773.6463,-0.001438
2023-11-08,11034.9057,10820.6865,0.008152
2023-11-09,11026.8571,10798.5667,-0.000729
2023-11-10,11113.2438,10869.9665,0.007834
2023-11-13,11318.2787,10944.7277,0.01845
2023-11-14,11403.1914,10978.8874,0.007502
2023-11-15,11350.6644,10916.447,-0.004606
2023-11-16,11432.3399,10963.4872,0.007196
2023-11-17,11457.7959,10963.4872,0.002227
2023-11-20,11407.9473,10971.0473,-0.004351
2023-11-21,11480.3329,11064.0083,0.006345
2023-11-22,11481.8848,11058.1283,0.000135
2023-11-23,11483.8197,11037.6876,0.000169
2023-11-24,11450.505,11021.4478,-0.002901
2023-11-27,11426.1518,10993.448,-0.002127
2023-11-28,11501.5097,11011.3679,0.006595
