,value
total_return_port,1.3278
total_return_bench,0.7871
cagr_port,0.2601
cagr_bench,0.1722
vol_port,0.1373
vol_bench,0.1278
mdd_port,-0.1849
mdd_bench,-0.2173
sharpe_port,1.462
sharpe_bench,0.994
sortino_port,2.142
sortino_bench,1.298
calmar_port,1.407
calmar_bench,0.792
info_ratio,1.07
beta,0.932
alpha_annualised,0.0969
hit_rate,0.54
n_days,921
n_years,3.65
start_date,2023-01-23
end_date,2026-08-18
risk_free_rate,0.04
