,value
total_return_port,1.2378
total_return_bench,0.7871
cagr_port,0.2466
cagr_bench,0.1722
vol_port,0.1331
vol_bench,0.1278
mdd_port,-0.1813
mdd_bench,-0.2173
sharpe_port,1.423
sharpe_bench,0.994
sortino_port,2.073
sortino_bench,1.298
calmar_port,1.36
calmar_bench,0.792
info_ratio,0.921
beta,0.902
alpha_annualised,0.0873
hit_rate,0.529
n_days,921
n_years,3.65
start_date,2023-01-23
end_date,2026-08-18
risk_free_rate,0.04
