ticker,earnings_date,surprise_pct,revenue_surprise_pct,same_day_return,predicted_return,reaction_gap,underreaction_flag,rev_beat,volume_confirmed,pead_setup_quality,direction,entry_date,sector,drift_window_days,drift_21d,drift_63d,outcome_label_correct,screened_at,regime_risk,regime_growth,regime_composite
AMGN,2025-06-30,14.08,,0.751,1.198,0.447,False,False,False,Low,bullish,2025-07-02,Healthcare,30,0.01,1.372,True,2026-05-08T11:29:53.188736,,,
CRM,2025-10-31,13.55,,1.465,-0.285,-1.75,False,False,False,Low,bullish,2025-11-04,Technology,45,-2.743,-25.217,False,2026-05-08T11:29:46.808702,,,
NKE,2025-05-31,13.48,,2.293,1.66,-0.633,False,False,False,Low,bullish,2025-06-04,Consumer Staples,21,21.921,20.665,True,2026-05-08T11:29:54.560303,,,
GE,2025-09-30,13.01,,2.449,1.136,-1.313,False,False,False,Low,bullish,2025-10-02,Industrials,30,3.172,7.236,True,2026-05-08T11:29:56.458216,,,
NOW,2025-09-30,13.0,,-2.186,-0.729,1.457,False,False,False,Low,bullish,2025-10-02,Technology,45,1.009,-18.992,True,2026-05-08T11:29:48.835822,,,
GS,2025-06-30,12.91,,2.452,1.333,-1.119,False,False,False,Low,bullish,2025-07-02,Financials,21,-0.883,10.312,False,2026-05-08T11:29:50.783325,,,
LLY,2025-06-30,12.89,,0.526,1.065,0.539,False,False,False,Low,bullish,2025-07-02,Healthcare,30,-2.175,6.153,False,2026-05-08T11:29:52.439628,,,
MSF.DE,2025-09-30,12.73,,0.0,0.066,0.066,False,False,False,Low,bullish,2025-10-02,Technology,45,2.628,-7.467,True,2026-05-08T11:29:45.217237,,,
SNOW,2025-10-31,12.49,,1.364,-0.066,-1.43,False,False,False,Low,bullish,2025-11-04,Technology,45,-11.548,-40.958,False,2026-05-08T11:29:49.002190,,,
AMGN,2025-09-30,12.47,,3.004,1.093,-1.911,False,False,False,Low,bullish,2025-10-02,Healthcare,30,0.346,10.954,True,2026-05-08T11:29:53.332778,,,
MA,2025-12-31,12.26,,-1.133,-0.874,0.259,False,False,False,Low,bullish,2026-01-05,Financials,21,-2.501,-12.231,False,2026-05-08T11:29:50.202442,,,
SAP.DE,2025-12-31,12.07,,-3.072,-2.981,0.091,False,False,False,Low,bullish,2026-01-06,Technology,45,-17.248,-28.127,False,2026-05-08T11:29:57.104917,,,
BAC,2025-09-30,12.04,,-1.583,0.323,1.906,False,False,False,Low,bullish,2025-10-02,Financials,21,5.884,11.412,True,2026-05-08T11:29:50.578574,,,
AMGN,2025-12-31,11.94,,-0.42,1.058,1.478,False,False,False,Low,bullish,2026-01-05,Healthcare,30,14.181,6.746,True,2026-05-08T11:29:53.406749,,,
JPM,2025-06-30,10.89,,0.975,2.089,1.114,False,False,False,Low,bullish,2025-07-02,Financials,21,-0.423,6.92,False,2026-05-08T11:29:50.354640,,,
APC.DE,2025-06-30,10.12,,-1.069,-1.167,-0.098,False,False,False,Low,bullish,2025-07-02,Technology,45,1.356,20.286,True,2026-05-08T11:29:44.938701,,,
HON,2025-09-30,9.87,,0.583,0.958,0.375,False,False,False,Low,bullish,2025-10-02,Industrials,30,1.233,-0.918,True,2026-05-08T11:29:56.822411,,,
MRK,2025-09-30,9.85,,6.808,2.982,-3.826,False,False,False,Low,bullish,2025-10-02,Healthcare,30,-3.944,19.942,False,2026-05-08T11:29:52.957303,,,
GE,2025-12-31,9.81,,-1.206,-0.624,0.582,False,False,False,Low,bullish,2026-01-05,Industrials,30,-4.927,-10.884,False,2026-05-08T11:29:56.532911,,,
RTX,2025-06-30,9.47,,0.94,0.784,-0.156,False,False,False,Low,bullish,2025-07-02,Industrials,30,8.504,16.203,True,2026-05-08T11:29:55.989369,,,
CAT,2025-09-30,9.43,,1.175,2.026,0.851,False,False,False,Low,bullish,2025-10-02,Industrials,30,18.009,22.333,True,2026-05-08T11:29:55.414539,,,
MS,2025-12-31,9.41,,-0.866,0.927,1.793,False,False,False,Low,bullish,2026-01-05,Financials,21,-2.931,-9.211,False,2026-05-08T11:29:51.291374,,,
LMT,2025-09-30,9.31,,1.47,0.511,-0.959,False,False,False,Low,bullish,2025-10-02,Industrials,30,-1.498,0.297,False,2026-05-08T11:29:55.818500,,,
LLY,2025-12-31,9.14,,-0.47,-0.035,0.435,False,False,False,Low,bullish,2026-01-05,Healthcare,30,6.3,-10.453,True,2026-05-08T11:29:52.584388,,,
BRK-B,2025-09-30,9.0,,0.699,0.776,0.077,False,False,False,Low,bullish,2025-10-02,Financials,21,-3.706,0.188,False,2026-05-08T11:29:51.471839,,,
MS,2025-06-30,8.59,,0.121,0.986,0.865,False,False,False,Low,bullish,2025-07-02,Financials,21,-1.963,10.584,False,2026-05-08T11:29:51.128947,,,
MSF.DE,2025-06-30,8.09,,-0.27,-0.677,-0.407,False,False,False,Low,bullish,2025-07-02,Technology,45,12.202,4.974,True,2026-05-08T11:29:45.124518,,,
PYPL,2025-06-30,8.0,,0.923,-0.87,-1.793,False,False,False,Low,bullish,2025-07-02,Financials,21,-12.056,-12.646,False,2026-05-08T11:29:49.333268,,,
AMAT,2026-01-31,7.89,,1.886,0.254,-1.632,False,False,False,Low,bullish,2026-02-04,Technology,45,9.256,44.205,True,2026-05-08T11:29:47.812388,,,
HD,2026-01-31,7.8,,0.942,0.806,-0.136,False,False,False,Low,bullish,2026-02-04,Consumer Staples,21,-7.562,-16.01,False,2026-05-08T11:29:54.285998,,,
GOOGL,2025-12-31,7.01,,-0.271,-1.028,-0.757,False,False,False,Low,bullish,2026-01-05,Communication,30,5.213,-3.432,True,2026-05-08T11:29:46.022195,,,
APC.DE,2025-12-31,6.34,,-0.817,-0.517,0.3,False,False,False,Low,bullish,2026-01-06,Technology,45,4.314,-4.698,True,2026-05-08T11:29:45.015984,,,
