ticker,earnings_date,surprise_pct,revenue_surprise_pct,same_day_return,predicted_return,reaction_gap,underreaction_flag,rev_beat,volume_confirmed,pead_setup_quality,direction,entry_date,sector,drift_window_days,drift_21d,drift_63d,outcome_label_correct,screened_at,regime_risk,regime_growth,regime_composite
TXN,2026-03-31,22.76,,4.141,4.024,-0.117,False,False,True,Low,bullish,2026-04-02,Technology,45,44.142,,True,2026-05-11T21:04:29.446637,Neutral,Slowdown,Neutral_Neutral_Slowdown
CAT,2026-03-31,19.3,,6.147,4.038,-2.109,False,False,False,Low,bullish,2026-04-02,Industrials,30,22.2,,True,2026-05-11T21:04:32.326901,Neutral,Slowdown,Neutral_Neutral_Slowdown
SPOT,2026-03-31,17.99,,2.086,-0.569,-2.655,False,False,False,Low,bullish,2026-04-02,Communication,30,-10.371,,False,2026-05-11T21:04:29.795784,Neutral,Slowdown,Neutral_Neutral_Slowdown
TSLA,2026-03-31,17.15,,4.636,2.163,-2.473,False,False,False,Low,bullish,2026-04-02,Technology,45,8.852,,True,2026-05-11T21:04:28.996690,Neutral,Slowdown,Neutral_Neutral_Slowdown
RTX,2026-03-31,16.95,,3.072,2.23,-0.842,False,False,False,Low,bullish,2026-04-02,Industrials,30,-11.88,,False,2026-05-11T21:04:32.492257,Neutral,Slowdown,Neutral_Neutral_Slowdown
GE,2026-03-31,16.31,,3.85,2.951,-0.899,False,False,False,Low,bullish,2026-04-02,Industrials,30,-0.228,,False,2026-05-11T21:04:32.654952,Neutral,Slowdown,Neutral_Neutral_Slowdown
SBUX,2026-03-31,14.51,,3.309,2.186,-1.123,False,False,True,Low,bullish,2026-04-02,Consumer Staples,21,16.156,,True,2026-05-11T21:04:31.945190,Neutral,Slowdown,Neutral_Neutral_Slowdown
MS,2026-03-31,13.66,,3.915,0.623,-3.292,False,False,True,Low,bullish,2026-04-02,Financials,21,13.998,,True,2026-05-11T21:04:30.503249,Neutral,Slowdown,Neutral_Neutral_Slowdown
NDX1.DE,2026-03-31,12.28,,4.306,,,False,False,False,Low,bullish,2026-04-02,Energy,14,5.309,,True,2026-05-11T21:04:33.097473,Neutral,Slowdown,Neutral_Neutral_Slowdown
UNH,2026-03-31,9.52,,3.361,1.871,-1.49,False,False,False,Low,bullish,2026-04-02,Healthcare,30,33.719,,True,2026-05-11T21:04:30.837001,Neutral,Slowdown,Neutral_Neutral_Slowdown
BAC,2026-03-31,8.78,,3.218,0.362,-2.856,False,False,False,Low,bullish,2026-04-02,Financials,21,5.691,,True,2026-05-11T21:04:30.251725,Neutral,Slowdown,Neutral_Neutral_Slowdown
SHOP,2026-03-31,8.56,,6.129,,,False,False,True,Low,bullish,2026-04-02,Technology,45,7.865,,True,2026-05-11T21:04:29.873323,Neutral,Slowdown,Neutral_Neutral_Slowdown
FSLR,2026-03-31,8.26,,6.8,,,False,False,True,Low,bullish,2026-04-02,Energy,14,8.228,,True,2026-05-11T21:04:33.015602,Neutral,Slowdown,Neutral_Neutral_Slowdown
