Date,AAPL,ABBV,ADBE,ALV.DE,AMAT,AMD,AMGN,AMZN,APC.DE,ARGX,ARGX.BR,ASML.AS,ATAI,AXP,BA,BAC,BAYN.DE,BMW.DE,BNTX,BRK-B,CAT,COK.DE,COST,CRM,FSLR,GE,GILD,GOOGL,GS,HD,HON,INTC,JNJ,JPM,KO,LLY,LMT,MA,MCD,META,MRK,MS,MSF.DE,MSFT,MU,NDX1.DE,NFLX,NKE,NOW,NVDA,ORCL,PFE,PYPL,QCOM,RTX,SAP,SAP.DE,SBUX,SHL.DE,SHOP,SIE.DE,SNOW,SPOT,TSLA,TSM,TXN,UBER,UCB.BR,UNH,V,WMT
2024-05-27,,,,243.9651336669922,,,,,173.2528076171875,,342.5,866.3177490234375,,,,,28.054351806640625,83.9625015258789,,,,28.474197387695312,,,,,,,,,,,,,,,,,,,,,392.4547424316406,,,14.600000381469727,,,,,,,,,,,175.81983947753906,,51.66361618041992,,171.19004821777344,,,,,,,126.14498901367188,,,
2024-05-28,188.19606018066406,144.13949584960938,478.42999267578125,243.690185546875,217.6519012451172,171.61000061035156,282.32293701171875,182.14999389648438,174.59829711914062,366.3399963378906,337.70001220703125,879.4705810546875,1.659999966621399,231.52938842773438,175.0800018310547,37.33412551879883,27.587934494018555,84.05210876464844,94.0999984741211,403.8999938964844,336.6571044921875,28.096935272216797,803.1819458007812,265.587646484375,280.1600036621094,166.3524932861328,59.638282775878906,174.84957885742188,438.8205261230469,310.4890441894531,188.14598083496094,30.86421012878418,136.41575622558594,190.40072631835938,57.95951843261719,795.59228515625,432.0541076660156,439.14215087890625,240.29412841796875,476.2470397949219,117.32415008544922,92.8502426147461,387.1486511230469,423.6618347167969,131.72561645507812,14.5600004196167,64.9000015258789,87.32206726074219,145.77200317382812,113.70423889160156,121.46951293945312,24.36748504638672,61.636199951171875,203.36074829101562,101.39161682128906,187.53488159179688,172.70143127441406,73.23143005371094,51.682823181152344,58.189998626708984,169.60177612304688,150.74000549316406,310.2900085449219,176.75,154.92446899414062,187.66001892089844,63.52000045776367,125.25907135009766,479.417724609375,266.42108154296875,63.8450927734375
2024-05-29,188.49319458007812,143.62916564941406,477.6000061035156,241.8572235107422,215.41949462890625,165.13999938964844,278.73028564453125,182.02000427246094,175.19189453125,377.7699890136719,351.1000061035156,872.1089477539062,1.6299999952316284,230.2509765625,171.64999389648438,36.764427185058594,26.7196102142334,82.27787017822266,93.2300033569336,404.0899963378906,328.5339050292969,27.54002571105957,796.6135864257812,267.3495178222656,278.19000244140625,161.4574737548828,59.22787857055664,174.35397338867188,436.3010559082031,307.85357666015625,186.15286254882812,29.94007110595703,136.4724578857422,189.07411193847656,57.84701919555664,799.2066040039062,426.6260681152344,436.5670471191406,236.34197998046875,470.72955322265625,117.14736938476562,91.5328140258789,390.489501953125,422.5296325683594,130.6433868408203,14.260000228881836,65.46199798583984,87.00884246826172,146.2239990234375,114.62664031982422,120.73771667480469,23.954185485839844,60.52581787109375,198.76055908203125,100.47879028320312,185.44053649902344,171.33712768554688,72.664306640625,51.567588806152344,58.369998931884766,168.14744567871094,148.19000244140625,307.5199890136719,176.19000244140625,149.9971466064453,183.2505645751953,64.93000030517578,125.20985412597656,461.3710021972656,264.336669921875,63.727291107177734
2024-05-30,189.48374938964844,145.03953552246094,445.8699951171875,243.50689697265625,212.9511260986328,166.75,283.084716796875,179.32000732421875,174.87530517578125,362.1600036621094,337.20001220703125,864.7473754882812,1.6799999475479126,231.50010681152344,172.75,36.6789665222168,27.84099006652832,82.97681427001953,98.75,408.6099853515625,329.6416320800781,27.46816635131836,805.3252563476562,214.5823974609375,276.7799987792969,162.04959106445312,59.768863677978516,170.59727478027344,432.2780456542969,313.1040344238281,189.7801513671875,29.99969482421875,137.26611328125,190.23849487304688,58.100154876708984,802.6829833984375,434.3722839355469,436.20196533203125,238.9009552001953,463.4755554199219,115.87258911132812,91.49517059326172,380.6634216308594,408.2539978027344,125.39103698730469,14.630000114440918,64.76599884033203,88.69833374023438,128.6580047607422,110.30911254882812,114.24905395507812,24.281381607055664,61.97328186035156,196.25942993164062,101.58379364013672,175.5825958251953,164.28173828125,74.44123077392578,51.337120056152344,58.540000915527344,168.51101684570312,140.9499969482422,304.69000244140625,178.7899932861328,148.65597534179688,183.97450256347656,64.12000274658203,124.52081298828125,458.4488830566406,266.735595703125,63.69784164428711
2024-05-31,190.43470764160156,149.61410522460938,444.760009765625,245.8896942138672,211.5153045654297,166.89999389648438,287.64605712890625,176.44000244140625,173.5891876220703,371.0199890136719,340.70001220703125,854.7354736328125,1.5700000524520874,234.2130889892578,177.61000061035156,37.97028350830078,28.024580001831055,83.49654388427734,100.5999984741211,414.3999938964844,328.9322814941406,27.66577911376953,799.9422607421875,230.75408935546875,271.760009765625,162.97727966308594,59.94607925415039,170.9838409423828,438.3172302246094,318.5161437988281,190.9892120361328,30.655534744262695,138.5794219970703,193.3879852294922,59.00020217895508,807.8828735351562,443.2304992675781,441.1056213378906,245.36463928222656,463.2571716308594,116.81237030029297,92.06918334960938,368.7247009277344,408.7068786621094,124.11021423339844,14.420000076293945,64.16200256347656,90.21699523925781,131.38600158691406,109.44361114501953,114.34664154052734,24.677457809448242,62.44916534423828,195.54067993164062,103.5920181274414,177.7158966064453,161.72853088378906,75.82115936279297,51.26029586791992,59.150001525878906,168.6449737548828,136.17999267578125,296.7799987792969,178.0800018310547,146.7899932861328,183.34458923339844,64.55999755859375,126.63716125488281,471.50799560546875,267.8760986328125,64.55186462402344
2024-06-03,192.19789123535156,148.6398162841797,439.0199890136719,248.18089294433594,210.65969848632812,163.5500030517578,289.1226501464844,178.33999633789062,176.3395538330078,377.9200134277344,347.3999938964844,864.256591796875,1.6100000143051147,231.16831970214844,184.57000732421875,37.8658447265625,28.406644821166992,83.56822967529297,102.87000274658203,414.7900085449219,321.97503662109375,27.881359100341797,805.3746948242188,232.89981079101562,272.7200012207031,159.3455047607422,59.1625862121582,171.64794921875,436.83868408203125,311.9912109375,191.24432373046875,30.099063873291016,139.59039306640625,192.61492919921875,59.00020217895508,818.636962890625,443.6194763183594,437.2773742675781,247.7780303955078,473.8355712890625,119.49215698242188,91.66455078125,372.4094543457031,407.1217956542969,127.25765991210938,14.680000305175781,63.37900161743164,89.95018768310547,132.02200317382812,114.80133819580078,116.38593292236328,25.23713493347168,62.915122985839844,197.32313537597656,103.16923522949219,179.4692840576172,163.96987915039062,77.57918548583984,50.8377685546875,59.70000076293945,170.462890625,136.92999267578125,313.6199951171875,176.2899932861328,150.58998107910156,182.13177490234375,63.790000915527344,125.70203399658203,473.478271484375,265.8311462402344,64.61076354980469
2024-06-04,192.51487731933594,150.44920349121094,448.3699951171875,240.11593627929688,208.70269775390625,159.99000549316406,289.0755920410156,179.33999633789062,176.24061584472656,378.5799865722656,349.29998779296875,856.7966918945312,1.5399999618530273,231.52938842773438,188.6199951171875,37.67594528198242,28.118854522705078,82.47501373291016,99.4800033569336,409.5299987792969,318.29241943359375,27.845428466796875,817.2272338867188,231.16748046875,266.1700134277344,159.26657104492188,59.843482971191406,172.26251220703125,437.1459045410156,312.2289733886719,195.75003051757812,29.8407039642334,139.64712524414062,190.0762481689453,59.94712448120117,819.94677734375,444.84326171875,438.8362731933594,250.61109924316406,473.33941650390625,119.76200103759766,90.88349914550781,372.1638488769531,409.6323547363281,125.73854064941406,14.399999618530273,63.1619987487793,90.27415466308594,134.39999389648438,116.23585510253906,117.15676879882812,25.392127990722656,62.7862434387207,195.84735107421875,103.67849731445312,179.44979858398438,164.3012237548828,78.250244140625,52.06694030761719,60.68000030517578,166.75051879882812,137.0,326.67999267578125,174.77000427246094,148.17977905273438,181.73687744140625,64.55000305175781,125.75125122070312,481.1404724121094,267.83685302734375,65.37643432617188
2024-06-05,194.02053833007812,153.51126098632812,455.79998779296875,240.84910583496094,219.66790771484375,166.1699981689453,289.08502197265625,181.27999877929688,178.75350952148438,385.0,351.0,926.1925659179688,1.409999966621399,229.03111267089844,189.85000610351562,37.94179916381836,28.376873016357422,81.91943359375,102.5,409.8500061035156,320.1191711425781,27.989147186279297,824.0523071289062,232.8112335205078,273.05999755859375,160.4212188720703,59.58232116699219,173.86827087402344,443.2715148925781,314.1313171386719,197.67703247070312,30.585975646972656,137.91802978515625,188.26290893554688,59.92837905883789,819.1294555664062,441.37103271484375,440.70111083984375,248.00694274902344,491.2711181640625,120.45054626464844,90.95879364013672,380.2704162597656,417.4494323730469,132.7582244873047,14.420000076293945,65.0270004272461,89.87395477294922,140.82200622558594,122.2284927368164,119.6546401977539,25.44378662109375,62.98452377319336,203.0633544921875,104.19737243652344,183.8625030517578,167.14675903320312,76.70963287353516,52.41264724731445,61.25,171.09437561035156,134.2899932861328,324.75,175.0,158.33572387695312,184.35060119628906,65.81999969482422,127.47386932373047,478.88470458984375,269.8818359375,65.85742950439453
2024-06-06,192.64364624023438,156.4156036376953,458.1300048828125,241.8572235107422,218.07476806640625,166.77999877929688,287.49560546875,185.0,178.06097412109375,386.79998779296875,352.79998779296875,939.8359375,1.4800000190734863,227.7234344482422,191.4199981689453,37.69492721557617,28.168474197387695,81.99112701416016,101.80999755859375,411.0799865722656,318.9920349121094,27.617938995361328,832.2900390625,238.9432830810547,273.45001220703125,158.5164794921875,59.55434036254883,175.17666625976562,439.8342590332031,314.9302673339844,196.9024658203125,30.22824478149414,138.34324645996094,187.92889404296875,60.14402389526367,824.575439453125,444.5871276855469,442.69415283203125,248.7033233642578,489.9810791015625,121.44618225097656,91.13758087158203,380.4669189453125,417.9515380859375,129.14414978027344,13.90999984741211,64.85199737548828,91.20796203613281,140.6320037841797,120.78897094726562,120.50355529785156,24.79800796508789,66.44456481933594,200.7059326171875,103.9475326538086,188.04139709472656,173.18869018554688,77.00262451171875,52.87358474731445,61.459999084472656,168.09002685546875,132.0399932861328,319.510009765625,177.94000244140625,157.50965881347656,184.50100708007812,68.9000015258789,127.86760711669922,477.7424621582031,272.3791198730469,65.91633605957031
2024-06-07,195.0308837890625,157.20428466796875,465.42999267578125,239.65769958496094,218.0550994873047,167.8699951171875,286.8654479980469,184.3000030517578,179.3273468017578,375.80999755859375,354.6000061035156,941.2102661132812,1.3899999856948853,227.05979919433594,190.24000549316406,38.00061798095703,27.87572479248047,81.70438385009766,100.33999633789062,413.7200012207031,319.62359619140625,27.896345138549805,835.1937866210938,238.04757690429688,267.3399963378906,159.7994384765625,60.34714889526367,172.9266357421875,436.7714538574219,311.0590515136719,197.2141876220703,30.546226501464844,138.966796875,190.8302001953125,59.91900634765625,837.0826416015625,446.0197448730469,443.7893371582031,244.40118408203125,489.1872253417969,121.58572387695312,91.41047668457031,386.70648193359375,417.2919616699219,130.00791931152344,13.800000190734863,64.14700317382812,91.99884033203125,139.76199340820312,120.67916870117188,122.86482238769531,24.608577728271484,66.72216033935547,198.00350952148438,103.88028717041016,186.1516571044922,172.83786010742188,76.96481323242188,52.91199493408203,61.59000015258789,166.9036102294922,131.2100067138672,308.2099914550781,177.47999572753906,159.76437377929688,183.90870666503906,69.30999755859375,127.96604919433594,467.0533752441406,273.9816589355469,64.6696548461914
