Date,AAPL,ABBV,ADBE,ALV.DE,AMAT,AMD,AMGN,AMZN,APC.DE,ATAI,AXP,BA,BAC,BAYN.DE,BMW.DE,BRK-B,CAT,COST,CRM,GE,GILD,GOOGL,GS,HD,HON,INTC,JNJ,JPM,KO,LLY,LMT,MA,MCD,META,MRK,MS,MSF.DE,MSFT,MU,NFLX,NKE,NOW,NVDA,ORCL,PFE,PYPL,QCOM,RTX,SAP,SAP.DE,SBUX,SHOP,SIE.DE,SNOW,SPOT,TSLA,TXN,UBER,UNH,V,WMT
2024-02-12,185.46212768554688,160.2377471923828,611.8400268554688,214.25247192382812,182.0507049560547,171.91000366210938,274.88037109375,172.33999633789062,172.72874450683594,1.8799999952316284,207.0674285888672,209.3300018310547,31.8634033203125,27.99608612060547,91.2594223022461,397.7099914550781,311.9631652832031,713.5259399414062,283.1627502441406,110.34380340576172,69.1888427734375,146.32066345214844,373.7197570800781,345.7244873046875,177.3432159423828,43.57545852661133,147.67640686035156,167.5506134033203,55.88626480102539,725.8449096679688,403.0802917480469,452.7219543457031,274.61663818359375,465.2489929199219,116.72456359863281,81.44358825683594,381.74884033203125,408.22772216796875,85.02098846435547,55.78499984741211,102.27509307861328,157.47000122070312,72.20387268066406,113.0577621459961,24.26710319519043,59.770442962646484,145.91513061523438,87.12989807128906,172.5791778564453,161.4402618408203,90.59786987304688,89.12000274658203,158.00538635253906,232.16000366210938,234.67999267578125,188.1300048828125,151.1304168701172,69.12000274658203,493.57354736328125,271.00482177734375,55.448673248291016
2024-02-13,183.37115478515625,160.44142150878906,601.8900146484375,213.77394104003906,176.91909790039062,171.5399932861328,271.192626953125,168.63999938964844,171.24378967285156,1.7400000095367432,204.540771484375,204.4600067138672,31.038860321044922,27.585905075073242,90.1336441040039,394.79998779296875,303.43743896484375,705.4662475585938,277.0819396972656,111.60336303710938,68.3338623046875,143.9502410888672,360.4991149902344,338.2886962890625,174.34181213378906,42.71444320678711,146.38534545898438,166.0923309326172,55.55861282348633,731.4664916992188,401.62078857421875,454.4490966796875,272.4059143066406,456.537353515625,116.80838012695312,78.7247314453125,374.2914123535156,399.43914794921875,80.88402557373047,55.45199966430664,100.19486236572266,154.7519989013672,72.08394622802734,110.94964599609375,23.661739349365234,57.95016860961914,142.9987030029297,86.60411071777344,167.3745574951172,156.6286163330078,89.07952117919922,77.18000030517578,156.6084747314453,227.57000732421875,238.0,184.02000427246094,147.1616973876953,68.98999786376953,492.8202819824219,271.7338562011719,55.07097244262695
2024-02-14,182.4891815185547,161.4876251220703,604.6599731445312,212.81686401367188,182.68850708007812,178.6999969482422,270.809814453125,170.97999572753906,169.42225646972656,1.7699999809265137,205.74069213867188,203.3800048828125,31.399011611938477,27.744047164916992,90.38381958007812,398.67999267578125,307.191162109375,713.2987060546875,284.9661865234375,115.3268814086914,67.87846374511719,144.7436981201172,359.8232421875,338.89422607421875,175.1146240234375,43.73380661010742,145.70240783691406,167.77938842773438,55.5024528503418,746.891357421875,393.7770690917969,459.11737060546875,273.4116516113281,469.5948791503906,117.17156982421875,78.75286102294922,372.5217590332031,403.2998352050781,81.181640625,57.93299865722656,101.46398162841797,158.39999389648438,73.85487365722656,111.51571655273438,23.784570693969727,58.55693054199219,146.71572875976562,87.36888885498047,170.73207092285156,158.6687469482422,89.2693099975586,80.66999816894531,157.9097137451172,236.0,244.1699981689453,188.7100067138672,148.11866760253906,79.1500015258789,492.90606689453125,273.4580383300781,54.89516067504883
2024-02-15,182.2018280029297,163.4967498779297,590.4400024414062,214.0349578857422,184.13087463378906,176.75999450683594,271.9859619140625,169.8000030517578,167.56112670898438,1.7999999523162842,207.33082580566406,205.3300018310547,32.28989028930664,27.729219436645508,91.68829345703125,403.45001220703125,313.3599548339844,715.6002197265625,287.71588134765625,116.79896545410156,68.18517303466797,141.59967041015625,366.8476867675781,341.59033203125,177.88241577148438,43.595252990722656,147.74188232421875,171.43936157226562,55.605430603027344,747.3548583984375,398.4192810058594,465.12786865234375,276.91265869140625,480.2611389160156,117.84207916259766,80.31855773925781,369.8672180175781,400.4141845703125,80.98323822021484,59.34600067138672,101.1968002319336,156.0,72.61360931396484,110.07127380371094,24.135501861572266,59.38251876831055,148.65997314453125,87.75129699707031,170.85711669921875,158.18759155273438,88.46268463134766,84.0,159.7850341796875,232.39999389648438,245.50999450683594,200.4499969482422,150.7832794189453,81.38999938964844,496.6629638671875,276.82745361328125,55.11982727050781
2024-02-16,180.66580200195312,164.33001708984375,546.6599731445312,214.99203491210938,195.81687927246094,173.8699951171875,266.9333190917969,169.50999450683594,168.09571838378906,1.840000033378601,207.360107421875,203.88999938964844,32.30885314941406,28.27777671813965,93.01062774658203,405.989990234375,312.2348327636719,715.0864868164062,285.5279541015625,117.42086029052734,66.52165222167969,139.36813354492188,365.9148864746094,342.79180908203125,177.18145751953125,43.060829162597656,147.57220458984375,170.63873291015625,55.596065521240234,771.3008422851562,399.3138122558594,462.01904296875,277.064453125,469.6345520019531,119.00614929199219,81.09669494628906,370.162109375,397.951904296875,78.87010192871094,58.39500045776367,98.77304077148438,153.0,72.56863403320312,108.6365737915039,24.232009887695312,58.82549285888672,145.52438354492188,87.00562286376953,170.19332885742188,158.8612060546875,88.46268463134766,81.29000091552734,161.90911865234375,230.30999755859375,246.25,199.9499969482422,150.47364807128906,78.41000366210938,497.3017883300781,274.4432373046875,55.468204498291016
2024-02-19,,,,216.3406219482422,,,,,166.80877685546875,,,,,28.564409255981445,91.86698913574219,,,,,,,,,,,,,,,,,,,,,,372.079345703125,,,,,,,,,,,,,158.0528564453125,,,162.25357055664062,,,,,,,,
2024-02-20,179.9225311279297,162.71900939941406,541.9099731445312,216.9931640625,185.5830078125,165.69000244140625,266.754638671875,167.0800018310547,165.60101318359375,2.009999990463257,207.2917938232422,203.3699951171875,32.185638427734375,28.43097496032715,90.9735107421875,407.1499938964844,304.31036376953125,716.765625,282.24615478515625,116.99576568603516,66.94915008544922,139.96319580078125,365.9909973144531,342.9999694824219,178.7720184326172,44.060401916503906,148.8070831298828,171.3059539794922,56.82238006591797,745.2640380859375,399.5021057128906,445.85284423828125,277.6622009277344,468.0767822265625,118.61503601074219,80.0185317993164,364.1647644042969,396.7011413574219,80.07051849365234,57.51300048828125,98.5726547241211,150.5679931640625,69.4095687866211,105.84526824951172,24.205692291259766,58.318206787109375,144.8286590576172,86.9769515991211,169.89508056640625,156.9173126220703,88.69044494628906,78.62000274658203,161.43072509765625,220.0800018310547,243.39999389648438,193.75999450683594,152.68789672851562,76.5999984741211,496.8344421386719,271.0835876464844,57.25897216796875
2024-02-21,180.6757049560547,162.1542205810547,538.52001953125,218.12425231933594,187.06715393066406,164.2899932861328,266.70751953125,168.58999633789062,166.63059997558594,1.8799999952316284,205.73092651367188,201.57000732421875,31.939228057861328,28.59406089782715,93.1893310546875,409.25,307.608154296875,714.1284790039062,279.447265625,117.35001373291016,68.02718353271484,141.38148498535156,369.5602722167969,344.4757080078125,179.3022003173828,43.021240234375,149.5800323486328,172.42111206054688,57.3278923034668,735.6481323242188,402.59063720703125,453.0574951171875,278.8576965332031,464.8784484863281,119.3134765625,80.12166595458984,363.5257873535156,396.1003723144531,80.84434509277344,57.334999084472656,100.45248413085938,149.58799743652344,67.43079376220703,105.56222534179688,24.275875091552734,57.174320220947266,144.87625122070312,86.24082946777344,169.2409210205078,156.16668701171875,90.17082214355469,75.58999633789062,162.10049438476562,216.2100067138672,245.08999633789062,194.77000427246094,153.9451141357422,76.44000244140625,497.7021484375,272.6697998046875,56.555686950683594
2024-02-22,182.7071990966797,163.64486694335938,537.5700073242188,221.95252990722656,196.3059844970703,181.86000061035156,268.325927734375,174.5800018310547,167.64031982421875,1.8300000429153442,208.75509643554688,201.5,31.853933334350586,28.57429313659668,93.88623809814453,415.1600036621094,312.4093933105469,725.3685913085938,289.4010925292969,119.39676666259766,67.63683319091797,142.9088592529297,371.6543273925781,351.2965087890625,180.4524688720703,42.53630065917969,151.24855041503906,174.48941040039062,57.24363327026367,759.0516967773438,403.8524475097656,465.4042053222656,280.7647399902344,482.8565368652344,120.37511444091797,80.48728942871094,372.8658447265625,405.4272155761719,85.22932434082031,58.84700012207031,100.27119445800781,153.8419952392578,78.49002838134766,108.3437728881836,24.170591354370117,58.03969192504883,147.48770141601562,86.15420532226562,174.79183959960938,160.9206085205078,90.89205169677734,75.02999877929688,164.66470336914062,225.6199951171875,248.1199951171875,197.41000366210938,155.2117156982422,78.02999877929688,502.0216979980469,279.5565185546875,57.11246109008789
2024-02-23,180.8739013671875,164.88552856445312,553.4400024414062,214.47000122070312,193.7800750732422,176.52000427246094,272.0894775390625,174.99000549316406,167.46214294433594,1.8300000429153442,209.3111572265625,200.8300018310547,32.14773178100586,28.48039436340332,95.35153198242188,417.2200012207031,314.14556884765625,728.8550415039062,288.56341552734375,120.70354461669922,68.35244750976562,142.77992248535156,372.206298828125,351.883056640625,180.2906951904297,42.54619598388672,152.558837890625,175.36627197265625,57.29043960571289,758.9530639648438,405.95220947265625,467.239990234375,282.50103759765625,480.7707214355469,120.55206298828125,81.14356994628906,373.0133056640625,404.13702392578125,85.31861114501953,58.35599899291992,100.79601287841797,154.19400024414062,78.76885223388672,109.26119232177734,24.354833602905273,58.84538650512695,147.6401824951172,86.61611938476562,177.22579956054688,163.40341186523438,90.74022674560547,76.23999786376953,167.72645568847656,229.33999633789062,256.1000061035156,191.97000122070312,153.5792236328125,78.19999694824219,502.7272033691406,279.4087219238281,57.16128921508789
